folder_name,manual_count,viewer_count,editor_count
00.様々なアプリの設定など,3,33,10
01.身嗜み,7,35,10
02.挨拶・発声,5,35,10
03.衛生管理ルール,9,35,10
04.接客・フロア作業　初級,22,35,10
05.接客・フロア作業　上級,6,35,10
06.サイドメニュー作成,16,35,10
07.調理ルーキーズ,21,35,10
08.調理初級,13,35,10
09.楽々精算,7,35,10
10.サイバー使用（Ｐ/Ａさん用）,14,35,10
11.サイバー使用・設定（店長用）,8,35,10
12.店長・代行,16,35,10
13.洗い場,2,35,10
14.らーめん,7,35,10
15.コンプライアンス,29,35,10
16.厨房機器全般（フライヤー・洗浄機・シャリ弁ロボ）,4,35,10
17.デイリー清掃・フロア（パントリー）,1,35,10
18.清掃・外周,1,35,10
19.フロアチェック,2,35,10
20.開店準備全般,1,35,10
21キャンペーン関連,2,35,10
22.ＰＯＳ関連,17,35,10
23.機器の管理と清掃方法,5,35,10
24.アレルギー関連,3,35,10
Nココ,3,26,10
サンプル,1,32,10
メンバー共通,10,12,9
ラーメン大戦争,38,30,9
ルーキーズフォルダ,51,42,10
共同編集者設定,1,8,8
